,head_cui,head,relation_label,tail_cui,tail,rel_type,rela_raw,sab,has_named_rel,linearised
35883,C4694938,epoetin alfa-epbx,isa,C0357126,Epoetin alfa,RN,isa,MEDCIN,True,epoetin alfa-epbx isa Epoetin alfa.
35884,C0357126,Epoetin alfa,active ingredient of,C0357126,Epoetin alfa,RO,active_ingredient_of,SNOMEDCT_US,True,Epoetin alfa active ingredient of Epoetin alfa.
35885,C4694938,epoetin alfa-epbx,form of,C0357126,Epoetin alfa,RN,form_of,RXNORM,True,epoetin alfa-epbx form of Epoetin alfa.
35886,C0020538,Hypertensive disease,has contraindicated drug,C0357126,Epoetin alfa,RO,has_contraindicated_drug,MED-RT,True,Hypertensive disease has contraindicated drug Epoetin alfa.
35887,C2917273,Increased Blood Pressure [PE],has contraindicated physiologic effect,C0357126,Epoetin alfa,RO,has_contraindicated_physiologic_effect,MED-RT,True,Increased Blood Pressure [PE] has contraindicated physiologic effect Epoetin alfa.
35888,C0357126,Epoetin alfa,has active ingredient,C0357126,Epoetin alfa,RO,has_active_ingredient,SCTSPA,True,Epoetin alfa has active ingredient Epoetin alfa.
35889,C3899741,CTRP Terminology,subset includes concept,C0357126,Epoetin alfa,RO,subset_includes_concept,NCI,True,CTRP Terminology subset includes concept Epoetin alfa.
35890,C0031849,Physostigmine,associated with,C0357701,Physostigmine sulfate,RO,associated_with,SNMI,True,Physostigmine associated with Physostigmine sulfate.
35891,C0031849,Physostigmine,is parent of,C0357701,Physostigmine sulfate,PAR,,RCD,False,Physostigmine sulfate is a type of Physostigmine.
35892,C0031849,Physostigmine,inverse isa,C0357701,Physostigmine sulfate,PAR,inverse_isa,MEDCIN,True,Physostigmine inverse isa Physostigmine sulfate.
35893,C0031849,Physostigmine,inverse isa,C0357701,Physostigmine sulfate,RB,inverse_isa,MEDCIN,True,Physostigmine inverse isa Physostigmine sulfate.
35894,C0357701,Physostigmine sulfate,active ingredient of,C0357701,Physostigmine sulfate,RO,active_ingredient_of,MEDCIN,True,Physostigmine sulfate active ingredient of Physostigmine sulfate.
35895,C0031849,Physostigmine,has salt or ester form,C0357701,Physostigmine sulfate,RO,has_salt_or_ester_form,NCI,True,Physostigmine has salt or ester form Physostigmine sulfate.
35896,C0031849,Physostigmine,has modification,C0357701,Physostigmine sulfate,RO,has_modification,SNOMEDCT_US,True,Physostigmine has modification Physostigmine sulfate.
35897,C0357701,Physostigmine sulfate,has active ingredient,C0357701,Physostigmine sulfate,RO,has_active_ingredient,MEDCIN,True,Physostigmine sulfate has active ingredient Physostigmine sulfate.
35898,C0031849,Physostigmine,has form,C0357701,Physostigmine sulfate,RB,has_form,RXNORM,True,Physostigmine has form Physostigmine sulfate.
